,firstname,lastname,university,department,grad_school,title,highest_degree,Grad_Yr
196,Jonathan,Slater,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Member of the Faculty of Education,NO INFO AVAILABLE,
197,Mike,Smith,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Nancy Pforzheimer Aronson Associate Professor in Human Development and Education,Ed.D.,1970
198,Catherine,Snow,HARVARD UNIVERSITY, Harvard Graduate School of Education, McGill University,Lecturer on Education,Ph.D.,1971
199,Nancy,Sommers,HARVARD UNIVERSITY, Harvard Graduate School of Education, Boston University,Postdoctoral Fellow in Education,Ed.D.,1978
200,Yingquan,Song,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Lecturer on Education,NO INFO AVAILABLE,
201,Elizabeth,Spelke,HARVARD UNIVERSITY, Harvard Graduate School of Education, Cornell University,Lecturer on Education,Ph.D.,1978
202,Jon,Star,HARVARD UNIVERSITY, Harvard Graduate School of Education, University of Michigan,Adjunct Lecturer on Education,Ph.D.,2001
203,Eric,Taylor,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Adjunct Lecturer on Education,NO INFO AVAILABLE,
204,Lee,Teitel,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Member of the Faculty of Education,Ed.D.,1988
205,Meredith,Thompson,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,"Lecturer on Education, Postdoctoral Fellow in Education",NO INFO AVAILABLE,
206,Shari,Tishman,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Associate Professor of Education,Ed.D.,1991
207,Terrence,Tivnan,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Member of the Faculty of Education,Ed.D.,1980
208,Barbara,Treacy,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Adjunct Lecturer on Education,Ed.M.,1998
209,Kimberly,Truong,HARVARD UNIVERSITY, Harvard Graduate School of Education, University of Pennsylvania,Visiting Scholar in Education,Ph.D.,2010
210,Michael,Tushman,HARVARD UNIVERSITY, Harvard Graduate School of Education, Massachusetts Institute of Technology,Associate Professor of Education,Ph.D.,1976
211,Michael,Tutwiler,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Visiting Scholar in Education,NO INFO AVAILABLE,
212,Paola,Uccelli,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Senior Lecturer on Education,Ed.D.,2003
213,David,Urion,HARVARD UNIVERSITY, Harvard Graduate School of Education, Stanford University,Associate Professor of Education,M.D.,1980
214,Marcus,Walker,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Charles William Eliot Research Professor of Education,NO INFO AVAILABLE,
215,Minhong,Wang,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,"Charles William Eliot Professor of Education, Emeritus",NO INFO AVAILABLE,
216,Natasha,Warikoo,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Lecturer on Education,Ph.D.,2005
217,Christina,Weiland,HARVARD UNIVERSITY, Harvard Graduate School of Education,NO INFO AVAILABLE,Senior Research Associate in Education,NO INFO AVAILABLE,
218,Richard,Weissbourd,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Visiting Scholar in Education,Ed.D.,1987
219,Martin,West,HARVARD UNIVERSITY, Harvard Graduate School of Education, Harvard University,Visiting Scholar in Education,Ph.D.,2006
220,Dean,Whitla,HARVARD UNIVERSITY, Harvard Graduate School of Education, University of Nebraska,Lecturer on Education,Ph.D.,1957
221,John,Willett,HARVARD UNIVERSITY, Harvard Graduate School of Education, Stanford University,Visiting Scholar in Education,Ph.D.,1985
222,Charles,Willie,HARVARD UNIVERSITY, Harvard Graduate School of Education, Syracuse University,Visiting Scholar in Education,Ph.D.,1957
